,0,1
AboveGradeFinishedArea,8019,4983
AboveGradeFinishedAreaSource,Agent,Agent
AboveGradeFinishedAreaUnits,Acres,Square Feet
AccessCode,g3x8,7nen
AccessibilityFeatures,,
AdditionalParcelsDescription,,[]
AdditionalParcelsYN,False,True
AnchorsCoTenants,"['Gleason, Sanford and Waters', 'Grady Group', 'Medhurst Inc', 'Stehr-Hilll']","['Bode-Boyle', 'Gibson-Friesen', 'Bednar Inc', 'Maggio-Krajcik', 'Monahan, Aufderhar and Tremblay']"
Appliances,"['Dishwasher', 'Disposal', 'Oven']",['Dishwasher']
ApprovalStatus,,
ArchitecturalStyle,"['beatae', 'perferendis', 'voluptatem', 'ipsa', 'ipsam', 'adipisci']","['asperiores', 'dolorum', 'necessitatibus', 'eius', 'repellendus']"
AssociationAmenities,,['Pool']
AssociationFee,253,50
AssociationFee2,93,170
AssociationFee2Frequency,Daily,Daily
AssociationFeeFrequency,Seasonal,Bi-Monthly
AssociationFeeIncludes,"['Sewer', 'Pest Control', 'Utilities', 'Earthquake Insurance', 'Water', 'Gas', 'Maintenance Grounds', 'Maintenance Exterior', 'Snow Removal', 'Insurance', 'Security']","['Maintenance Exterior', 'Earthquake Insurance', 'Security', 'Utilities', 'Pest Control', 'Gas', 'Insurance', 'Maintenance Grounds', 'Sewer']"
AssociationName,id,iste
AssociationName2,Ondricka and Sons,Abbott-Veum
AssociationPhone,1-914-415-3494,(668) 767-1969
AssociationPhone2,(310) 727-0122,(408) 232-8362
AssociationYN,False,True
AttachedGarageYN,True,False
AvailabilityDate,2018-06-30T13:39:22.490Z,2018-05-16T01:15:43.369Z
Basement,,
BathroomsFull,2,6
BathroomsHalf,4,4
BathroomsOneQuarter,3,2
BathroomsPartial,9,10
BathroomsThreeQuarter,2,4
BathroomsTotalDecimal,9.25,7.5
BathroomsTotalInteger,14,12
BedroomsPossible,7,6
BedroomsTotal,2,3
BelowGradeFinishedArea,3579,472
BelowGradeFinishedAreaSource,Estimate,Assessor
BelowGradeFinishedAreaUnits,Acres,Acres
BodyType,,
BuilderModel,Sleek Concrete Pants,Small Wooden Car
BuilderName,Langosh Group,"Kuvalis, Rau and Larkin"
BuildingAreaSource,Estimate,Agent
BuildingAreaTotal,9071755,1878524
