CENTER_LAT;CENTER_LON;ZIPcode5;PropertyLocation;TotalValue;SQFTmain;Units;Bedrooms;Bathrooms;EffectiveYearBuilt;rowID;RecordingDate;TaxRateArea_CITY;house_type;pool;coordinates;HH_Kids;Owner;lot_area;closest_school;num_school_choices;closest_school_rating;elevation;groceries;parks;crime;walkscore;transit_score;bike_score;Post_ID
33.7198056;-118.3258995;90732;2207 WARMOUTH ST  LOS ANGELES CA  90732;1694000;2592;1;3;3;1959;1001;29/07/2016;LOS ANGELES;house;no;(33.719805600000001, -118.32589950000001);0.434107622;0.673514649;9421.073551;0.27;1;6;49.19800949;3;4;0;18;11;9;32455
33.71959942;-118.3255467;90732;2197 WARMOUTH ST  LOS ANGELES CA  90732;159442;2333;1;4;3;1963;1002;20/07/2016;LOS ANGELES;house;no;(33.719599420000002, -118.32554666);0.434107622;0.673514649;11146.8519;0.26;1;6;48.69470596;3;4;0;18;11;9;32456
33.73814294;-118.355705;90275;4319 ADMIRABLE DR  RNCHO PALOS VRDS CA  90275;1250000;1865;1;3;3;1956;1003;08/07/2016;RANCHO PALOS VERDES;house;yes;(33.738142940000003, -118.35570495);0.553245276;0.799026733;11796.2881;1.27;0;9;82.35077667;0;4;0;4;0;0;32457
33.73548029;-118.3512551;90275;4032 EXULTANT DR  RNCHO PALOS VRDS CA  90275;1095000;2329;1;3;3;1961;1004;29/07/2016;RANCHO PALOS VERDES;house;no;(33.735480289999998, -118.35125511);0.553245276;0.799026733;10671.18113;1.06;0;9;95.8277359;0;4;0;11;0;0;32458
33.7365904;-118.3462614;90275;32222 SEA RAVEN DR  RNCHO PALOS VRDS CA  90275;132192;2030;1;4;2;1963;1005;27/07/2016;RANCHO PALOS VERDES;house;no;(33.736590399999997, -118.34626136);0.553245276;0.799026733;12823.28485;0.77;1;9;135.7993317;0;4;0;10;0;0;32459
33.72733939;-118.338611;90275;3200 LA ROTONDA DR, NO 114  RNCHO PALOS VRDS CA  90275;730000;1373;1;2;2;1974;1006;19/07/2016;RANCHO PALOS VERDES;condo;no;(33.727339389999997, -118.33861102);0.553245276;0.799026733;242000.7224;0.98;1;9;94.20200348;0;7;0;7;0;0;32460
33.74386814;-118.3290423;90275;30067 GRANDPOINT LN  RNCHO PALOS VRDS CA  90275;1675000;3192;1;5;3;1967;1007;06/07/2016;RANCHO PALOS VERDES;house;no;(33.743868139999996, -118.3290423);0.553245276;0.799026733;13346.36402;0.36;3;9;327.4424744;1;8;0;40;0;0;32461
33.76242234;-118.3313404;90275;3 STALLION RD  RNCHO PALOS VRDS CA  90275;127547;1483;1;3;2;1951;1008;25/07/2016;RANCHO PALOS VERDES;house;no;(33.762422340000001, -118.33134044000001);0.553245276;0.799026733;13630.64168;0.81;2;7;256.324585;1;4;0;33;0;0;32462
33.74288906;-118.3694373;90275;1 W POMEGRANATE RD  RNCHO PALOS VRDS CA  90275;606063;1958;1;2;2;1970;1009;26/07/2016;RANCHO PALOS VERDES;house;no;(33.742889060000003, -118.36943728999999);0.553245276;0.799026733;28755.04208;1.25;0;2;83.99330902;0;4;0;40;0;0;32463
33.74779956;-118.405118;90275;19 VIA SAN REMO  RNCHO PALOS VRDS CA  90275;920000;2282;1;3;3;1989;1010;01/07/2016;RANCHO PALOS VERDES;condo;no;(33.747799559999997, -118.40511798);0.553245276;0.799026733;264851.1324;0.09;2;10;88.63441467;2;6;0;52;0;0;32464
33.74188465;-118.3886919;90275;32679 SEAGATE DR, 101  RNCHO PALOS VRDS CA  90275;554526;1736;1;2;2;1965;1011;27/07/2016;RANCHO PALOS VERDES;condo;no;(33.741884650000003, -118.38869188);0.553245276;0.799026733;753135.6644;1.1;0;10;50.90151596;1;7;0;23;0;0;32465
33.74188465;-118.3886919;90275;32709 SEAGATE DR, 108  RNCHO PALOS VRDS CA  90275;553673;1565;1;2;2;1965;1012;06/07/2016;RANCHO PALOS VERDES;condo;no;(33.741884650000003, -118.38869188);0.553245276;0.799026733;753135.6644;1.1;0;10;50.90151596;1;7;0;23;0;0;32466
33.74188465;-118.3886919;90275;32614 COASTSITE DR, 104  RNCHO PALOS VRDS CA  90275;640000;1565;1;2;2;1965;1013;19/07/2016;RANCHO PALOS VERDES;condo;no;(33.741884650000003, -118.38869188);0.553245276;0.799026733;753135.6644;1.1;0;10;50.90151596;1;7;0;23;0;0;32467
33.74188465;-118.3886919;90275;32614 COASTSITE DR, 307  RANCHO PALOS VERDES CA  90275;376506;1433;1;2;2;1965;1014;21/07/2016;RANCHO PALOS VERDES;condo;no;(33.741884650000003, -118.38869188);0.553245276;0.799026733;753135.6644;1.1;0;10;50.90151596;1;7;0;23;0;0;32468
33.74378383;-118.3916045;90275;6506 SANDY POINT CT  RNCHO PALOS VRDS CA  90275;1210000;2712;1;3;3;1988;1015;11/07/2016;RANCHO PALOS VERDES;pud;no;(33.743783829999998, -118.39160445);0.553245276;0.799026733;4435.684101;0.89;1;10;66.229599;1;7;0;24;0;0;32469
33.74396858;-118.3925606;90275;6519 SANDY POINT CT  RNCHO PALOS VRDS CA  90275;1291000;3036;1;4;3;1987;1016;01/07/2016;RANCHO PALOS VERDES;pud;no;(33.743968580000001, -118.39256064);0.553245276;0.799026733;4408.403899;0.84;1;10;65.88432312;2;7;0;24;0;0;32470
33.74167874;-118.3909342;90275;32706 VIA PALACIO  RNCHO PALOS VRDS CA  90275;1450000;3556;1;3;4;1984;1017;08/07/2016;RANCHO PALOS VERDES;pud;no;(33.741678739999998, -118.39093419999999);0.553245276;0.799026733;4733.134752;1;1;10;46.55114365;1;7;0;23;0;0;32471
33.74111494;-118.3912151;90275;6502 VIA BARON  RNCHO PALOS VRDS CA  90275;1890000;4596;1;4;5;1984;1018;26/07/2016;RANCHO PALOS VERDES;pud;no;(33.741114940000003, -118.39121509);0.553245276;0.799026733;4559.871902;1;1;10;42.83945465;1;7;0;23;0;0;32472
33.76784779;-118.3777299;90275;5731 MISTRIDGE DR  RNCHO PALOS VRDS CA  90275;158385;2718;1;4;3;1968;1019;15/07/2016;RANCHO PALOS VERDES;house;no;(33.767847789999998, -118.37772986);0.553245276;0.799026733;10542.69507;0.03;9;10;376.146759;3;3;0;38;0;0;32473
33.76505488;-118.3745726;90275;29203 BEACHSIDE DR  RNCHO PALOS VRDS CA  90275;1320000;2488;1;4;3;1977;1020;29/07/2016;RANCHO PALOS VERDES;house;no;(33.765054880000001, -118.37457256);0.553245276;0.799026733;9392.050872;0.17;8;10;392.9932861;2;5;0;9;0;0;32474
33.76461505;-118.3761752;90275;29352 WHITLEY COLLINS DR  RNCHO PALOS VRDS CA  90275;852999;2803;1;4;3;1964;1021;26/07/2016;RANCHO PALOS VERDES;house;no;(33.764615050000003, -118.37617523999999);0.553245276;0.799026733;9221.716525;0.21;8;10;396.190094;3;4;0;10;0;0;32475
33.7638593;-118.3785542;90275;29404 STONECREST RD  RNCHO PALOS VRDS CA  90275;745796;2802;1;5;4;1970;1022;27/07/2016;RANCHO PALOS VERDES;house;yes;(33.7638593, -118.37855422);0.553245276;0.799026733;8821.053955;0.25;8;10;383.4526978;3;4;0;11;0;0;32476
