CENTER_LAT,CENTER_LON,ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,TaxRateArea_CITY,house_type,pool,coordinates,HH_Kids,Owner,lot_area,closest_school,num_school_choices,closest_school_rating,elevation,groceries,parks,crime,walkscore,transit_score,bike_score
33.7198056,-118.3258995,90732,2207 WARMOUTH ST  LOS ANGELES CA  90732,1694000.0,2592,1,3,3,1959,20177563037006,2016-07-29,LOS ANGELES,house,no,"(33.719805600000001, -118.32589950000001)",0.43410762227150695,0.6735146492354384,9421.07355078,0.27,1.0,6.0,49.1980094909668,3.0,4.0,0.0,18,11,9
33.71959942,-118.32554666,90732,2197 WARMOUTH ST  LOS ANGELES CA  90732,159442.0,2333,1,4,3,1963,20177563037032,2016-07-20,LOS ANGELES,house,no,"(33.719599420000002, -118.32554666)",0.43410762227150695,0.6735146492354384,11146.8519,0.26,1.0,6.0,48.69470596313477,3.0,4.0,0.0,18,11,9
33.73814294,-118.35570495,90275,4319 ADMIRABLE DR  RNCHO PALOS VRDS CA  90275,1250000.0,1865,1,3,3,1956,20177564003021,2016-07-08,RANCHO PALOS VERDES,house,yes,"(33.738142940000003, -118.35570495)",0.5532452758642482,0.799026733236428,11796.2880994,1.27,0.0,9.0,82.35077667236328,0.0,4.0,0.0,4,0,0
33.73548029,-118.35125511,90275,4032 EXULTANT DR  RNCHO PALOS VRDS CA  90275,1095000.0,2329,1,3,3,1961,20177564009023,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.735480289999998, -118.35125511)",0.5532452758642482,0.799026733236428,10671.181128299999,1.06,0.0,9.0,95.8277359008789,0.0,4.0,0.0,11,0,0
33.7365904,-118.34626136,90275,32222 SEA RAVEN DR  RNCHO PALOS VRDS CA  90275,132192.0,2030,1,4,2,1963,20177564013020,2016-07-27,RANCHO PALOS VERDES,house,no,"(33.736590399999997, -118.34626136)",0.5532452758642482,0.799026733236428,12823.2848501,0.77,1.0,9.0,135.7993316650391,0.0,4.0,0.0,10,0,0
33.72733939,-118.33861102,90275,"3200 LA ROTONDA DR, NO 114  RNCHO PALOS VRDS CA  90275",730000.0,1373,1,2,2,1974,20177564020019,2016-07-19,RANCHO PALOS VERDES,condo,no,"(33.727339389999997, -118.33861102)",0.5532452758642482,0.799026733236428,242000.72243400002,0.98,1.0,9.0,94.2020034790039,0.0,7.0,0.0,7,0,0
33.74386814,-118.3290423,90275,30067 GRANDPOINT LN  RNCHO PALOS VRDS CA  90275,1675000.0,3192,1,5,3,1967,20177566010042,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.743868139999996, -118.3290423)",0.5532452758642482,0.799026733236428,13346.3640151,0.36,3.0,9.0,327.4424743652344,1.0,8.0,0.0,40,0,0
33.76242234,-118.33134044,90275,3 STALLION RD  RNCHO PALOS VRDS CA  90275,127547.0,1483,1,3,2,1951,20177568013001,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.762422340000001, -118.33134044000001)",0.5532452758642482,0.799026733236428,13630.6416814,0.81,2.0,7.0,256.3245849609375,1.0,4.0,0.0,33,0,0
33.74288906,-118.36943729,90275,1 W POMEGRANATE RD  RNCHO PALOS VRDS CA  90275,606063.0,1958,1,2,2,1970,20177572017017,2016-07-26,RANCHO PALOS VERDES,house,no,"(33.742889060000003, -118.36943728999999)",0.5532452758642482,0.799026733236428,28755.0420797,1.25,0.0,2.0,83.9933090209961,0.0,4.0,0.0,40,0,0
33.74779956,-118.40511798,90275,19 VIA SAN REMO  RNCHO PALOS VRDS CA  90275,920000.0,2282,1,3,3,1989,20177573001053,2016-07-01,RANCHO PALOS VERDES,condo,no,"(33.747799559999997, -118.40511798)",0.5532452758642482,0.799026733236428,264851.132399,0.09,2.0,10.0,88.63441467285156,2.0,6.0,0.0,52,0,0
