ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,TaxRateArea_CITY,house_type,pool,coordinates
90732,2207 WARMOUTH ST  LOS ANGELES CA  90732,1694000.0,2592,1,3,3,1959,20177563037006,2016-07-29,LOS ANGELES,house,no,"(33.719805600000001, -118.32589950000001)"
90732,2197 WARMOUTH ST  LOS ANGELES CA  90732,159442.0,2333,1,4,3,1963,20177563037032,2016-07-20,LOS ANGELES,house,no,"(33.719599420000002, -118.32554666)"
90275,4319 ADMIRABLE DR  RNCHO PALOS VRDS CA  90275,1250000.0,1865,1,3,3,1956,20177564003021,2016-07-08,RANCHO PALOS VERDES,house,yes,"(33.738142940000003, -118.35570495)"
90275,4032 EXULTANT DR  RNCHO PALOS VRDS CA  90275,1095000.0,2329,1,3,3,1961,20177564009023,2016-07-29,RANCHO PALOS VERDES,house,no,"(33.735480289999998, -118.35125511)"
90275,32222 SEA RAVEN DR  RNCHO PALOS VRDS CA  90275,132192.0,2030,1,4,2,1963,20177564013020,2016-07-27,RANCHO PALOS VERDES,house,no,"(33.736590399999997, -118.34626136)"
90275,"3200 LA ROTONDA DR, NO 114  RNCHO PALOS VRDS CA  90275",730000.0,1373,1,2,2,1974,20177564020019,2016-07-19,RANCHO PALOS VERDES,condo,no,"(33.727339389999997, -118.33861102)"
90275,30067 GRANDPOINT LN  RNCHO PALOS VRDS CA  90275,1675000.0,3192,1,5,3,1967,20177566010042,2016-07-06,RANCHO PALOS VERDES,house,no,"(33.743868139999996, -118.3290423)"
90275,3420 STARLINE DR  RNCHO PALOS VRDS CA  90275,1715000.0,3396,1,4,4,1965,20177566018020,2016-07-05,RANCHO PALOS VERDES,house,yes,"(33.7430758, -118.33145819000001)"
90274,75 EASTFIELD DR  ROLLING HILLS CA  90274,621188.0,3370,1,4,5,1990,20177567005030,2016-07-08,ROLLING HILLS,house,yes,"(33.751296279999998, -118.34007502)"
90274,41 HITCHING POST DR  ROLLING HILLS ES CA  90274,197571.0,2388,1,3,3,1963,20177568003003,2016-07-27,ROLLING HILLS ESTATES,house,no,"(33.770409839999999, -118.32904358)"
90275,3 STALLION RD  RNCHO PALOS VRDS CA  90275,127547.0,1483,1,3,2,1951,20177568013001,2016-07-25,RANCHO PALOS VERDES,house,no,"(33.762422340000001, -118.33134044000001)"
90274,2840 PALOS VERDES DR N  PALOS VERDES EST CA  90274,1800000.0,2707,1,4,3,1959,20177569001005,2016-07-06,ROLLING HILLS,house,yes,"(33.771500260000003, -118.33590559999999)"
90274,65 SADDLEBACK RD  ROLLING HILLS CA  90274,4175000.0,4045,1,5,4,1957,20177569005005,2016-07-29,ROLLING HILLS,house,no,"(33.768552120000003, -118.33990626000001)"
90274,26864 EASTVALE RD  PALOS VERDES PNSLA CA  90274,1373191.0,2378,1,4,4,1960,20177570003003,2016-07-19,unincorporated,house,no,"(33.776766139999999, -118.35072954)"
90274,27078 SUNNYRIDGE RD  PALOS VERDES PNSLA CA  90274,1087344.0,1908,1,3,3,1960,20177570004010,2016-07-11,unincorporated,house,yes,"(33.773097, -118.35409568999999)"
90274,27606 SUNNYRIDGE RD  PALOS VERDES PEN CA  90274,868367.0,1962,1,4,2,1958,20177570006013,2016-07-28,unincorporated,house,yes,"(33.768767779999997, -118.36159627000001)"
90274,27681 EASTVALE RD  PALOS VERDES PEN CA  90274,1271610.0,2296,1,3,2,1960,20177570007014,2016-07-13,unincorporated,house,no,"(33.771008160000001, -118.36071587000001)"
90274,27366 EASTVALE RD  PALOS VERDES PEN CA  90274,1315023.0,2243,1,3,2,1959,20177570011012,2016-07-29,unincorporated,house,no,"(33.774416219999999, -118.35545156000001)"
90274,27252 EASTVALE RD  PALOS VERDES PNSLA CA  90274,1167900.0,2342,1,3,3,1956,20177570012014,2016-07-22,unincorporated,house,no,"(33.777336320000003, -118.35585390999999)"
90274,26825 EASTVALE RD  PALOS VERDES PNSLA CA  90274,1950000.0,3039,1,3,4,1970,20177570015014,2016-07-08,unincorporated,house,no,"(33.778203269999999, -118.35131566)"
90274,26670 WESTVALE RD  PALOS VERDES PNSLA CA  90274,175835.0,1834,1,2,4,1963,20177570016003,2016-07-13,unincorporated,house,no,"(33.78027496, -118.35175859)"
90274,27325 EASTVALE RD  PALOS VERDES PEN CA  90274,1148300.0,1890,1,3,2,1970,20177570020005,2016-07-25,unincorporated,house,no,"(33.776033910000002, -118.35677324)"
90274,17 JOHNS CANYON RD  ROLLING HILLS CA  90274,5011010.0,3294,1,3,2,1943,20177570024011,2016-07-15,ROLLING HILLS,house,yes,"(33.76786602, -118.36158783)"
