,PropertyLocation,TotalValue,RecordingDate,SQFTmain,Units,Bedrooms,Bathrooms,EffectiveYearBuilt,townhouse,pool,condo,pud,owned
0,2207 WARMOUTH ST  LOS ANGELES CA  90732,$1694000.00,20160729,2592,1,3,3,1959,no,no,no,no,no
1,2207 WARMOUTH ST  LOS ANGELES CA  90732,$150000.00,20160729,0,0,0,0,0,no,no,no,no,no
2,4032 EXULTANT DR  RNCHO PALOS VRDS CA  90275,$1095000.00,20160729,2329,1,3,3,1961,no,no,no,no,no
3,32222 SEA RAVEN DR  RNCHO PALOS VRDS CA  90275,$132192.00,20160727,2030,1,4,2,1963,no,no,no,no,no
4,31959 EMERALD VIEW DR  RANCHO PALOS VERDES CA  90275,$3600000.00,20160729,0,0,0,0,0,no,no,no,no,no
5,29425 PALOS VERDES DR E  RNCHO PALOS VRDS CA  90275,$450000.00,20160728,0,0,0,0,0,no,no,no,no,no
6,41 HITCHING POST DR  ROLLING HILLS ES CA  90274,$197571.00,20160727,2388,1,3,3,1963,no,no,no,no,no
7,3 STALLION RD  RNCHO PALOS VRDS CA  90275,$127547.00,20160725,1483,1,3,2,1951,no,no,no,no,no
8,65 SADDLEBACK RD  ROLLING HILLS CA  90274,$4175000.00,20160729,4045,1,5,4,1957,no,no,no,no,no
9,27606 SUNNYRIDGE RD  PALOS VERDES PEN CA  90274,$868367.00,20160728,1962,1,4,2,1958,no,yes,no,no,no
10,27366 EASTVALE RD  PALOS VERDES PEN CA  90274,$1315023.00,20160729,2243,1,3,2,1959,no,no,no,no,no
11,27252 EASTVALE RD  PALOS VERDES PNSLA CA  90274,$1167900.00,20160722,2342,1,3,3,1956,no,no,no,no,no
12,27325 EASTVALE RD  PALOS VERDES PEN CA  90274,$1148300.00,20160725,1890,1,3,2,1970,no,no,no,no,no
13,1 W POMEGRANATE RD  RNCHO PALOS VRDS CA  90275,$606063.00,20160726,1958,1,2,2,1970,no,no,no,no,no
14,"32679 SEAGATE DR, 101  RNCHO PALOS VRDS CA  90275",$554526.00,20160727,1736,1,2,2,1965,no,no,yes,no,no
15,"32614 COASTSITE DR, 307  RANCHO PALOS VERDES CA  90275",$376506.00,20160721,1433,1,2,2,1965,no,no,yes,no,no
16,6502 VIA BARON  RNCHO PALOS VRDS CA  90275,$1890000.00,20160726,4596,1,4,5,1984,no,no,no,yes,no
17,29203 BEACHSIDE DR  RNCHO PALOS VRDS CA  90275,$1320000.00,20160729,2488,1,4,3,1977,no,no,no,no,no
18,29352 WHITLEY COLLINS DR  RNCHO PALOS VRDS CA  90275,$852999.00,20160726,2803,1,4,3,1964,no,no,no,no,no
19,29404 STONECREST RD  RNCHO PALOS VRDS CA  90275,$745796.00,20160727,2802,1,5,4,1970,no,yes,no,no,no
20,5634 SUNMIST DR  RNCHO PALOS VRDS CA  90275,$1455000.00,20160728,2654,1,4,3,1965,no,no,no,no,no
21,4112 QUINLIN DR  PALOS VERDES CA  90274,$1305000.00,20160726,2063,1,3,2,1973,no,no,no,no,no
22,4128 ROESSLER CT  PALOS VERDES PNSLA CA  90274,$1655000.00,20160726,3104,1,5,4,1977,no,yes,no,no,no
23,4207 ROUSSEAU LN  PALOS VERDES PNSLA CA  90274,$948298.00,20160722,2063,1,3,2,1972,no,yes,no,no,no
24,6020 SANDBROOK DR  RNCHO PALOS VRDS CA  90275,$837747.00,20160726,2928,1,4,3,1970,no,yes,no,no,no
25,30027 VIA RIVERA  RNCHO PALOS VRDS CA  90275,$1550000.00,20160729,2791,1,5,4,1969,no,yes,no,no,no
26,30302 VIA RIVERA  RNCHO PALOS VRDS CA  90275,$1620000.00,20160726,3184,1,5,3,1966,no,no,no,no,no
27,7016 HARTCREST DR  RNCHO PALOS VRDS CA  90275,$1205000.00,20160725,2184,1,4,3,1963,no,no,no,no,no
28,7015 STARSTONE DR  RNCHO PALOS VRDS CA  90275,$1427000.00,20160722,2283,1,4,3,1965,no,no,no,no,no
29,6617 MADELINE COVE DR  RNCHO PALOS VRDS CA  90275,$454163.00,20160725,1539,1,4,2,1971,no,no,no,no,no
30,7002 ABBOTTSWOOD DR  RNCHO PALOS VRDS CA  90275,$1160000.00,20160729,1895,1,4,2,1963,no,no,no,no,no
31,6608 VERDE RIDGE RD  RNCHO PALOS VRDS CA  90275,$1500000.00,20160726,2420,1,4,3,1972,no,yes,no,no,no
32,6740 EL RODEO RD  RNCHO PALOS VRDS CA  90275,$530329.00,20160728,1857,1,4,3,1979,no,no,no,no,no
33,7017 CHERTY DR  RNCHO PALOS VRDS CA  90275,$424659.00,20160722,1434,1,3,2,1962,no,no,no,no,no
34,29422 INDIAN VALLEY RD  ROLLING HILLS ES CA  90275,$995000.00,20160729,2051,1,4,3,2002,no,no,no,no,no
35,10 VIA MALONA  RNCHO PALOS VRDS CA  90275,$1985000.00,20160721,5630,1,5,6,1990,no,no,no,no,no
36,29 CRESTA VERDE DR  ROLLING HILLS ES CA  90274,$519906.00,20160728,1400,1,2,3,1972,no,no,no,yes,no
37,28608 COVERIDGE DR  RNCHO PALOS VRDS CA  90275,$1209800.00,20160726,2122,1,4,3,1972,no,no,no,no,no
38,"16 PEARTREE LN, BLDG 25  ROLLING HILLS ES CA  90274",$1017825.00,20160728,2338,1,3,3,1978,no,no,yes,no,no
39,27515 WARRIOR DR  RNCHO PALOS VRDS CA  90275,$965914.00,20160722,1896,1,3,3,1966,no,yes,no,no,no
40,27437 ELMBRIDGE DR  RNCHO PALOS VRDS CA  90275,$985000.00,20160727,1868,1,3,2,1965,no,no,no,no,no
41,27912 LONGHILL DR  RNCHO PALOS VRDS CA  90275,$1450000.00,20160726,2440,1,5,3,2000,no,no,no,no,no
42,"28326 RIDGEFALLS CT, UNIT 131  RANCHO PALOS VERDES CA  90275",$698998.00,20160725,2067,1,3,3,1977,no,no,yes,no,no
43,"5951 ARMAGA SPRING RD, UNIT   B  RANCHO PALOS VERDES CA  90275",$570000.00,20160729,1484,1,3,3,1969,no,no,yes,no,no
44,"5947 ARMAGA SPRING RD, UNIT   I  RNCHO PALOS VRDS CA  90275",$464100.00,20160729,1071,1,2,2,1969,no,no,yes,no,no
45,6785 VALLON DR  RNCHO PALOS VRDS CA  90275,$1540000.00,20160722,3177,1,5,3,1968,no,yes,no,no,no
46,"901 DEEP VALLEY DR, 105  ROLLING HILLS ESTATES CA  90274",$495000.00,20160721,930,1,2,2,2008,no,no,yes,no,no
47,"901 DEEP VALLEY DR, 307  ROLLING HILLS ESTATES CA  90274",$864744.00,20160729,1490,1,2,2,2008,no,no,yes,no,no
48,,$1082434.00,20160726,0,0,0,0,0,no,no,yes,no,no
49,9120 FLALLON AVE  SANTA FE SPRINGS CA  90670,$473000.00,20160728,1683,1,3,2,1958,no,no,no,no,no
50,9852 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,$420000.00,20160721,1170,1,3,1,1954,no,no,no,no,no
51,9503 ORR AND DAY RD  SANTA FE SPRINGS CA  90670,$267164.00,20160728,1786,1,3,2,1998,no,no,no,no,no
52,11003 DAVENRICH ST  SANTA FE SPRINGS CA  90670,$113984.00,20160725,1040,1,3,1,1953,no,no,no,no,no
53,11713 IDALENE ST  SANTA FE SPRINGS CA  90670,$375000.00,20160728,1047,1,3,1,1951,no,no,no,no,no
54,10258 JERSEY AVE  SANTA FE SPRINGS CA  90670,$431000.00,20160729,1596,1,2,2,1961,no,no,no,no,no
55,12451 GARDEN PKWY  SANTA FE SPRINGS CA  90670,$580000.00,20160728,2099,1,3,3,2010,no,no,yes,no,no
56,11868 TINA ST  NORWALK CA  90650,$417509.00,20160721,1443,1,4,3,1970,no,no,no,no,no
57,11702 BUELL ST  NORWALK CA  90650,$401371.00,20160722,1132,1,3,2,1956,no,no,no,no,no
58,11212 RINGWOOD AVE  SANTA FE SPRINGS CA  90670,$428400.00,20160728,1273,1,3,1,1954,no,no,no,no,no
59,11913 ROSETON AVE  NORWALK CA  90650,$211426.00,20160725,1106,1,3,2,1955,no,no,no,no,no
60,11912 ROSETON AVE  NORWALK CA  90650,$286258.00,20160726,1222,1,4,2,1954,no,no,no,no,no
61,11348 CECILIA ST  NORWALK CA  90650,$365000.00,20160729,1765,1,3,3,1970,no,no,no,no,no
62,11826 BENFIELD AVE  NORWALK CA  90650,$403787.00,20160721,1103,1,3,1,1951,no,no,no,no,no
63,11812 DALWOOD AVE  NORWALK CA  90650,$420000.00,20160729,1130,1,3,1,1951,no,no,no,no,no
64,11719 OFFLEY AVE  NORWALK CA  90650,$430000.00,20160729,1038,1,3,1,1951,no,no,no,no,no
65,12032 RINGWOOD AVE  NORWALK CA  90650,$76003.00,20160726,1912,1,5,2,1965,no,no,no,no,no
66,12128 ROSETON AVE  NORWALK CA  90650,$341101.00,20160729,1240,1,3,1,1951,no,no,no,no,no
67,11863 CYCLOPS ST  NORWALK CA  90650,$291781.00,20160727,1000,1,3,1,1965,no,no,no,no,no
68,12303 ZEUS AVE  NORWALK CA  90650,$350000.00,20160725,1486,1,3,1,1957,no,no,no,no,no
