,ZIPcode5,PropertyLocation,TotalValue,SQFTmain,Bedrooms,Bathrooms,EffectiveYearBuilt,rowID,RecordingDate,house_type,pool,coordinates
8,90732,3002 S ANCHOVY AVE  LOS ANGELES CA  90732,$557583.00,2190,3,4,1962,20177563035015,2016-06-09,house,yes,"(33.72424779, -118.32301407)"
38,90275,32405 SEA RAVEN DR  RNCHO PALOS VRDS CA  90275,$1581000.00,2566,4,2,1963,20177564012005,2016-06-08,house,no,"(33.734178010000001, -118.34616251)"
48,90275,3720 HIGHTIDE DR  RNCHO PALOS VRDS CA  90275,$341245.00,3190,4,3,1972,20177564015006,2016-06-29,house,yes,"(33.737161049999997, -118.3430793)"
51,90275,3535 HEROIC DR  RNCHO PALOS VRDS CA  90275,$1336200.00,1999,4,2,1963,20177564016005,2016-06-10,house,no,"(33.734280669999997, -118.34276513)"
53,90275,3408 GULFCREST DR  RNCHO PALOS VRDS CA  90275,$1936980.00,3424,4,4,1982,20177564017017,2016-06-23,house,no,"(33.732819829999997, -118.34092199)"
59,90275,"3200 LA ROTONDA DR, NO 413  RNCHO PALOS VRDS CA  90275",$445733.00,1096,1,1,1977,20177564020013,2016-06-13,condo,no,"(33.727339389999997, -118.33861102)"
88,90275,3 VIA SUBIDA  RNCHO PALOS VRDS CA  90275,$1133220.00,2263,3,2,1970,20177566005035,2016-06-03,house,no,"(33.744450030000003, -118.32649918)"
89,90275,4333 VIA FRASCATI  RNCHO PALOS VRDS CA  90275,$1351500.00,2233,4,3,1962,20177566006024,2016-06-22,house,no,"(33.74651652, -118.32514655)"
105,90275,30023 KNOLL VIEW DR  RNCHO PALOS VRDS CA  90275,$1760443.00,2941,4,4,1967,20177566011033,2016-06-15,house,yes,"(33.746496690000001, -118.32947279)"
106,90275,3158 CROWNVIEW DR  RNCHO PALOS VRDS CA  90275,$1486514.00,2632,3,3,1972,20177566013014,2016-06-14,house,no,"(33.749675230000001, -118.33111982)"
109,90275,3177 CROWNVIEW DR  RNCHO PALOS VRDS CA  90275,$426369.00,3116,4,3,1975,20177566015017,2016-06-29,house,no,"(33.750682980000001, -118.33190385)"
127,90274,49 EASTFIELD DR  ROLLING HILLS CA  90274,$5304000.00,5173,3,5,2008,20177567003015,2016-06-01,house,yes,"(33.753463189999998, -118.33542772)"
135,90274,1 OPENBRAND RD  ROLLING HILLS CA  90274,$2713200.00,3577,4,4,1970,20177567004033,2016-06-08,house,yes,"(33.750204680000003, -118.33838261)"
140,90274,7 CHESTERFIELD RD  ROLLING HILLS CA  90274,$3494224.00,3568,4,4,1988,20177567006011,2016-06-29,house,yes,"(33.761186209999998, -118.33625039)"
146,90274,2 FLYING MANE RD  ROLLING HILLS CA  90274,$215880.00,2568,3,3,1954,20177567009035,2016-06-17,house,no,"(33.749787499999996, -118.34285604999999)"
159,90274,10 GEORGEFF RD  ROLLING HILLS CA  90274,$1894268.00,2879,3,3,1981,20177567015003,2016-06-30,house,no,"(33.757306299999996, -118.34688216000001)"
165,90274,3 QUAIL RIDGE RD S  ROLLING HILLS CA  90274,$285782.00,3118,3,3,1955,20177567017037,2016-06-16,house,yes,"(33.756049400000002, -118.35505634)"
166,90274,12 CABALLEROS RD  ROLLING HILLS CA  90274,$251979.00,2642,3,3,1958,20177567018011,2016-06-29,house,yes,"(33.753720889999997, -118.34310116)"
186,90275,2 BRONCO DR  RANCHO PALOS VERDES CA  90275,$1290300.00,1760,3,2,1962,20177568017023,2016-06-28,house,no,"(33.764863929999997, -118.33207084999999)"
187,90275,11 CAYUSE LN  RNCHO PALOS VRDS CA  90275,$1585080.00,3511,5,4,1963,20177568018012,2016-06-28,house,yes,"(33.766231650000002, -118.33181986)"
206,90275,28345 PALOS VERDES DR E  RANCHO PALOS VERDES CA  90275,$197309.00,2896,5,3,1967,20177568026028,2016-06-03,house,yes,"(33.764565099999999, -118.32942133)"
218,90274,3 PINE TREE LN  ROLLING HILLS CA  90274,$7446000.00,4747,3,4,1970,20177569012007,2016-06-09,house,yes,"(33.765593189999997, -118.34778089)"
220,90274,22 PORTUGUESE BEND RD  ROLLING HILLS CA  90274,$5673138.00,9854,6,9,1992,20177569013015,2016-06-15,house,no,"(33.767272630000001, -118.34460281)"
236,90274,26850 EASTVALE RD  PALOS VERDES PNSLA CA  90274,$551707.00,2218,3,2,1956,20177570003001,2016-06-17,house,no,"(33.77718145, -118.35061183000001)"
242,90274,27100 SUNNYRIDGE RD  PALOS VERDES PEN CA  90274,$1020000.00,2442,3,2,1957,20177570005001,2016-06-20,house,yes,"(33.772743900000002, -118.35458999999999)"
255,90274,27023 EASTVALE RD  PALOS VERDES PEN CA  90274,$1159536.00,1657,3,2,1956,20177570013011,2016-06-07,house,no,"(33.775539010000003, -118.35335427)"
279,90275,15 SWEETBAY RD  RNCHO PALOS VRDS CA  90275,$2320500.00,1792,3,2,1954,20177572011016,2016-06-28,house,no,"(33.747317170000002, -118.36886928)"
282,90275,28 SWEETBAY RD  RNCHO PALOS VRDS CA  90275,$313985.00,2695,3,2,1958,20177572013011,2016-06-03,house,no,"(33.747666889999998, -118.37238544)"
293,90275,202 SEASCAPE RD  RNCHO PALOS VRDS CA  90275,$110650.00,1634,1,2,1957,20177572021040,2016-06-06,house,no,"(33.73798515, -118.35978948)"
296,90275,9 VIA SAN REMO  RNCHO PALOS VRDS CA  90275,$743779.00,2309,3,3,1989,20177573001049,2016-06-02,condo,no,"(33.747799559999997, -118.40511798)"
308,90275,7 PACKET RD  RNCHO PALOS VRDS CA  90275,$860819.00,2237,5,3,1969,20177573011023,2016-06-03,house,no,"(33.744395310000002, -118.38808611)"
318,90275,"32724 COASTSITE DR, 108  RNCHO PALOS VRDS CA  90275",$347330.00,1736,2,2,1965,20177573012060,2016-06-24,condo,no,"(33.741884650000003, -118.38869188)"
337,90275,"32859 SEAGATE DR, 308  RNCHO PALOS VRDS CA  90275",$795600.00,1736,2,2,1965,20177573012212,2016-06-17,condo,no,"(33.741884650000003, -118.38869188)"
350,90275,6515 SANDY POINT CT  RNCHO PALOS VRDS CA  90275,$1325796.00,3036,4,3,1987,20177573013058,2016-06-15,pud,no,"(33.744106619999997, -118.39224249)"
361,90275,6401 VISTA PACIFICA  RNCHO PALOS VRDS CA  90275,$1035773.00,3890,4,5,1984,20177573017036,2016-06-13,pud,no,"(33.742930270000002, -118.39004916)"
380,90275,28507 ROBINVIEW LN  RNCHO PALOS VRDS CA  90275,$1083750.00,2363,3,2,1960,20177574001103,2016-06-20,house,no,"(33.767399930000003, -118.36670624)"
389,90274,26 SEAVIEW DR S  ROLLING HILLS ES CA  90274,$749700.00,1868,3,3,1973,20177574003066,2016-06-15,pud,no,"(33.760825539999999, -118.37910099)"
422,90275,5718 WHITECLIFF DR  RNCHO PALOS VRDS CA  90275,$627766.00,2539,4,3,1966,20177574015030,2016-06-01,house,yes,"(33.761070310000001, -118.37549583000001)"
428,90275,5659 SUNMIST DR  RNCHO PALOS VRDS CA  90275,$1322940.00,2374,4,3,1965,20177574016026,2016-06-17,house,yes,"(33.762203360000001, -118.37343113)"
431,90275,5656 WHITECLIFF DR  RNCHO PALOS VRDS CA  90275,$1033016.00,2424,4,3,1965,20177574016038,2016-06-15,house,no,"(33.76228639, -118.37395556)"
433,90275,5684 WHITECLIFF DR  RNCHO PALOS VRDS CA  90275,$949968.00,2589,4,3,1967,20177574016042,2016-06-23,house,no,"(33.76182318, -118.37472909)"
442,90275,16 MELA LN  RNCHO PALOS VRDS CA  90275,$763727.00,2995,3,3,1979,20177574018015,2016-06-15,pud,no,"(33.76376578, -118.3705277)"
462,90274,56 RANCHVIEW RD  ROLLING HILLS ES CA  90274,$1451088.00,4011,7,5,1975,20177575006002,2016-06-17,house,no,"(33.783881950000001, -118.36150136000001)"
466,90274,17 SANTA BELLA RD  ROLLING HILLS ES CA  90274,$1468800.00,2568,3,3,1960,20177575008002,2016-06-23,house,no,"(33.78284214, -118.36079682)"
485,90274,26526 ACADEMY DR  PALOS VERDES PNSLA CA  90274,$1514700.00,2580,4,3,1973,20177575020043,2016-06-06,house,yes,"(33.782551519999998, -118.35429559000001)"
489,90274,4163 PASCAL PL  PALOS VERDES PNSLA CA  90274,$1032654.00,1984,3,2,1972,20177575023041,2016-06-27,house,yes,"(33.7805027, -118.35672835)"
530,90274,15 SILVER EAGLE RD  ROLLING HILLS ES CA  90274,$923100.00,1596,4,2,1956,20177576014013,2016-06-16,house,no,"(33.788568689999998, -118.36356494)"
566,90275,5313 LITTLEBOW RD  RNCHO PALOS VRDS CA  90275,$1355580.00,1935,4,2,1957,20177577005012,2016-06-17,house,no,"(33.784562340000001, -118.37421929999999)"
567,90275,26574 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,$692673.00,2078,4,2,1957,20177577006004,2016-06-15,house,no,"(33.785585040000001, -118.37742385999999)"
576,90275,26878 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,$597717.00,1460,3,2,1958,20177577009016,2016-06-17,house,no,"(33.780993459999998, -118.37650097)"
581,90275,5311 MANITOWAC DR  RNCHO PALOS VRDS CA  90275,$1264800.00,2320,4,2,1959,20177577015002,2016-06-08,house,no,"(33.784588650000003, -118.37328232999999)"
588,90275,27138 INDIAN PEAK RD  RNCHO PALOS VRDS CA  90275,$1173000.00,2090,4,2,1958,20177577020009,2016-06-30,house,yes,"(33.77786493, -118.37770467999999)"
589,90275,5421 EAU CLAIRE DR  RNCHO PALOS VRDS CA  90275,$119518.00,1668,3,2,1958,20177577020024,2016-06-29,house,no,"(33.777581329999997, -118.37719285)"
598,90275,26589 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,$1060800.00,1672,3,2,1958,20177578004025,2016-06-17,house,no,"(33.78576777, -118.37812206)"
600,90275,26803 BASSWOOD AVE  RNCHO PALOS VRDS CA  90275,$1132200.00,1687,3,2,1963,20177578006004,2016-06-03,house,yes,"(33.782439109999999, -118.37831245)"
607,90275,27032 FREEPORT RD  RNCHO PALOS VRDS CA  90275,$857416.00,2540,4,3,1967,20177578008004,2016-06-03,house,no,"(33.780381730000002, -118.37933896)"
658,90275,27109 WHITESTONE RD  RNCHO PALOS VRDS CA  90275,$1224000.00,1701,4,2,1959,20177578027020,2016-06-13,house,no,"(33.781772529999998, -118.38574715)"
660,90275,27159 SPRINGCREEK RD  RNCHO PALOS VRDS CA  90275,$1084000.00,1890,4,2,1959,20177578028021,2016-06-07,house,no,"(33.780189159999999, -118.38700292999999)"
665,90275,6326 MONERO DR  RNCHO PALOS VRDS CA  90275,$561321.00,1518,3,2,1964,20177578030022,2016-06-22,house,no,"(33.781106139999999, -118.39110583)"
677,90275,6431 LE BLANC PL  RNCHO PALOS VRDS CA  90275,$1642200.00,2415,4,3,1976,20177581004026,2016-06-15,house,no,"(33.757525739999998, -118.39156314)"
681,90275,30432 RHONE DR  RNCHO PALOS VRDS CA  90275,$217757.00,2414,4,3,1963,20177581007008,2016-06-14,house,no,"(33.754216960000001, -118.39254454)"
693,90275,65 SEA BREEZE AVE  RANCHO PALOS VERDES CA  90275,$1985738.00,3727,4,4,1999,20177581016018,2016-06-10,house,yes,"(33.758323359999999, -118.38439448)"
697,90275,12 SAIL VIEW AVE  RANCHO PALOS VERDES CA  90275,$1181677.00,3365,3,3,1999,20177581016042,2016-06-29,house,no,"(33.757460799999997, -118.38122525)"
709,90275,19 CRESTWIND DR  RNCHO PALOS VRDS CA  90275,$1326000.00,2102,4,3,1960,20177581025024,2016-06-30,house,no,"(33.759610889999998, -118.36567076)"
716,90275,5809 OCEAN TERRACE DR  RNCHO PALOS VRDS CA  90275,$1851300.00,3467,4,4,1981,20177581030014,2016-06-16,house,yes,"(33.758925640000001, -118.37863792)"
719,90275,5306 VALLEY VIEW RD  RNCHO PALOS VRDS CA  90275,$1849260.00,4116,4,5,1985,20177581031023,2016-06-09,house,yes,"(33.760215639999998, -118.36589524)"
730,90275,33 MARGUERITE DR  RNCHO PALOS VRDS CA  90275,$3135046.00,4588,5,5,1987,20177582001007,2016-06-14,house,no,"(33.760541510000003, -118.416877)"
738,90275,30709 RUE VALOIS  RNCHO PALOS VRDS CA  90275,$125856.00,1926,4,2,1960,20177582005021,2016-06-02,house,no,"(33.753631749999997, -118.40868448000001)"
741,90275,30834 VIA RIVERA  RNCHO PALOS VRDS CA  90275,$1249500.00,2013,3,2,1960,20177582007021,2016-06-30,house,no,"(33.752310870000002, -118.40637175000001)"
757,90275,7372 VIA LORADO  RNCHO PALOS VRDS CA  90275,$1370880.00,2101,3,3,1964,20177582014017,2016-06-03,house,no,"(33.759872469999998, -118.41229318000001)"
759,90275,7422 VIA LORADO  RNCHO PALOS VRDS CA  90275,$1479000.00,2133,3,3,1975,20177582014024,2016-06-17,house,no,"(33.759844710000003, -118.41400328)"
