,0,1
AboveGradeFinishedArea,1229,6059
AboveGradeFinishedAreaSource,Agent,Estimate
AboveGradeFinishedAreaUnits,Square Feet,Acres
AccessCode,2f53,m8js
AccessibilityFeatures,,
AdditionalParcelsDescription,,[]
AdditionalParcelsYN,False,True
AnchorsCoTenants,"['Brekke, Huels and Kilback', 'Torphy-Hand', 'Tremblay, Schroeder and Gutmann', 'Satterfield and Sons']","['Goyette, Rolfson and Wisoky', 'Flatley, Schaefer and Rice', 'Cormier, Daugherty and Anderson', 'Torphy-Wisoky', 'Nolan-Simonis', 'McLaughlin, Murphy and Volkman']"
Appliances,"['Dishwasher', 'Disposal']","['Dishwasher', 'Disposal', 'Oven', 'Microwave']"
ApprovalStatus,,
ArchitecturalStyle,"['quis', 'voluptatem', 'dolores', 'ex', 'porro', 'ut', 'doloribus']",['aut']
AssociationAmenities,['Pool'],
AssociationFee,458,174
AssociationFee2,496,454
AssociationFee2Frequency,Semi-Monthly,Weekly
AssociationFeeFrequency,Semi-Monthly,Semi-Annually
AssociationFeeIncludes,['Utilities'],"['Earthquake Insurance', 'Insurance', 'Security', 'Cable TV', 'Water', 'Pest Control']"
AssociationName,aut,eum
AssociationName2,Adams-Pollich,Davis and Sons
AssociationPhone,813.021.8926,331.158.8437
AssociationPhone2,(903) 602-5900,
AssociationYN,False,False
AttachedGarageYN,True,False
AvailabilityDate,2018-06-24T12:59:48.276Z,2018-07-02T09:32:03.847Z
Basement,"['sit', 'natus', 'dolorem']",
BathroomsFull,9,5
BathroomsHalf,3,3
BathroomsOneQuarter,1,2
BathroomsPartial,5,8
BathroomsThreeQuarter,1,3
BathroomsTotalDecimal,5.5,10.25
BathroomsTotalInteger,8,14
BedroomsPossible,5,8
BedroomsTotal,4,2
BelowGradeFinishedArea,447,5162
BelowGradeFinishedAreaSource,Estimate,Agent
BelowGradeFinishedAreaUnits,Acres,Acres
BodyType,,
BuilderModel,Incredible Rubber Chair,Gorgeous Rubber Table
BuilderName,Sipes Group,Corwin-Maggio
BuildingAreaSource,Estimate,Estimate
BuildingAreaTotal,2202525,8281554
BuildingAreaUnits,Square Feet,Square Meteres
BuildingFeatures,"['Cafeteria', 'Concierge Service']","['Lounge', 'Elevator']"
BuildingName,Horace Rogahn Plc,Dr. Gardner Johnston Bldg
BusinessName,Muller Group,Tremblay Group
BusinessType,Food & Beverage,Financial
BuyerAgencyCompensation,,
BuyerAgencyCompensationType,,
BuyerAgentAOR,,
BuyerAgentCellPhone,,
BuyerAgentDesignation,,
BuyerAgentDirectPhone,,
BuyerAgentEmail,,
BuyerAgentFax,,
BuyerAgentFirstName,,
BuyerAgentFullName,,
BuyerAgentHomePhone,,
BuyerAgentKey,,
BuyerAgentKeyNumeric,,
BuyerAgentLastName,,
BuyerAgentMiddleName,,
BuyerAgentMlsId,,
BuyerAgentNamePrefix,,
BuyerAgentNameSuffix,,
BuyerAgentOfficePhone,,
BuyerAgentOfficePhoneExt,,
BuyerAgentPager,,
BuyerAgentPreferredPhone,,
BuyerAgentPreferredPhoneExt,,
BuyerAgentStateLicense,,
BuyerAgentTollFreePhone,,
BuyerAgentURL,,
BuyerAgentVoiceMail,,
BuyerAgentVoiceMailExt,,
BuyerFinancing,"['Assumed', 'Cash', 'Contract', 'Conventional', 'FHA', 'FHA 203(b)', 'FHA 203(k)', 'Other', 'Private']","['Assumed', 'Cash', 'Contract', 'Conventional', 'FHA', 'FHA 203(b)']"
BuyerOfficeAOR,,
BuyerOfficeEmail,,
BuyerOfficeFax,,
BuyerOfficeKey,,
BuyerOfficeKeyNumeric,,
BuyerOfficeMlsId,,
BuyerOfficeName,,
BuyerOfficePhone,,
BuyerOfficePhoneExt,,
BuyerOfficeURL,,
BuyerTeamKey,,
BuyerTeamKeyNumeric,,
BuyerTeamName,,
CableTvExpense,,
CancelationDate,,
CapRate,,
CarportSpaces,1,2
CarportYN,False,True
CarrierRoute,,
City,Mission District,Mission District
CityRegion,South Winfieldchester,Lake Adrian
CloseDate,2017-12-17T23:13:56.638Z,2018-03-14T13:52:11.667Z
ClosePrice,,
CoBuyerAgentAOR,,
CoBuyerAgentCellPhone,,
CoBuyerAgentDesignation,,
CoBuyerAgentDirectPhone,,
CoBuyerAgentEmail,,
CoBuyerAgentFax,,
CoBuyerAgentFirstName,,
