StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10,Q11,Q12,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_8,Q25_10,Q25_11,Q25_12,Q25_14,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,High square footage (of the house),"High total land area (including yard, driveway, etc)",Low age of property,High public school scores,High percentage of households with kids,Mostly owner-occupied homes,Low crime rates,"Special geographics (by the sea, or on a hilltop)",High Walkscore,High Transitscore,Near schools (low distance to closest school),Near grocery stores (high number of choices within 1 mile),Near parks (high number of choices within 1 mile),"Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Los Angeles, CA 90066; Price $760k; Condo; 2 Bedrooms; 3 Bathrooms; 1,609 sq ft.; 6,955 total land area; Built 1991; No pool; 38% households in the area have kids; 38% households in the area are owner occupied; 0.14 miles to the closest school; 16 schools within 1 mile; Closest school rating 3; 4 grocery stores within 1 mile; 10 parks within 1 mile; Walkscore 62; Transitscore 49","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Redondo Beach, CA 90278; Price $813k; House; 3 Bedrooms; 1 Bathrooms; 1,225 sq ft.; 6,559 total land area; Built 1949; No pool; 56% households in the area have kids; 56% households in the area are owner occupied; 0.46 miles to the closest school; 14 schools within 1 mile; Closest school rating 5; 10 grocery stores within 1 mile; 12 parks within 1 mile; Walkscore 70; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Culver City, CA 90230; Price $773k; House; 3 Bedrooms; 2 Bathrooms; 1,520 sq ft.; 4,998 total land area; Built 1953; No pool; 44% households in the area have kids; 53% households in the area are owner occupied; 0.15 miles to the closest school; 14 schools within 1 mile; Closest school rating 10; 6 grocery stores within 1 mile; 10 parks within 1 mile; Walkscore 75; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Diamond Bar, CA 91765; Price $755k; House; 4 Bedrooms; 3 Bathrooms; 2,683 sq ft.; 8,913 total land area; Built 1991; No pool; 55% households in the area have kids; 76% households in the area are owner occupied; 0.44 miles to the closest school; 4 schools within 1 mile; Closest school rating 7; 5 grocery stores within 1 mile; 4 parks within 1 mile; Walkscore 44; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Redondo Beach, CA 90278; Price $765k; Condo; 3 Bedrooms; 3 Bathrooms; 2,061 sq ft.; 15,004 total land area; Built 1981; No pool; 56% households in the area have kids; 56% households in the area are owner occupied; 0.14 miles to the closest school; 13 schools within 1 mile; Closest school rating 9; 6 grocery stores within 1 mile; 15 parks within 1 mile; Walkscore 76; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - West Hollywood, CA 90069; Price $875k; Condo; 2 Bedrooms; 2 Bathrooms; 1,400 sq ft.; 14,333 total land area; Built 1981; No pool; 7% households in the area have kids; 37% households in the area are owner occupied; 0.14 miles to the closest school; 7 schools within 1 mile; Closest school rating 10; 10 grocery stores within 1 mile; 4 parks within 1 mile; Walkscore 91; Transitscore 61","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Canyon Country, CA 91387; Price $710k; House; 4 Bedrooms; 3 Bathrooms; 2,838 sq ft.; 6,326 total land area; Built 2000; Has pool; 81% households in the area have kids; 63% households in the area are owner occupied; 0.58 miles to the closest school; 2 schools within 1 mile; Closest school rating 7; 2 grocery stores within 1 mile; 2 parks within 1 mile; Walkscore 3; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Los Angeles, CA 90066; Price $823k; House; 4 Bedrooms; 3 Bathrooms; 3,649 sq ft.; 9,260 total land area; Built 1998; No pool; 58% households in the area have kids; 70% households in the area are owner occupied; 0.73 miles to the closest school; 6 schools within 1 mile; Closest school rating 6; 5 grocery stores within 1 mile; 0 parks within 1 mile; Walkscore 23; Transitscore 40","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Rancho Palos Verdes, CA 90275; Price $730k; Condo; 2 Bedrooms; 2 Bathrooms; 1,373 sq ft.; 242,001 total land area; Built 1974; No pool; 55% households in the area have kids; 80% households in the area are owner occupied; 0.98 miles to the closest school; 1 schools within 1 mile; Closest school rating 9; 0 grocery stores within 1 mile; 7 parks within 1 mile; Walkscore 7; Transitscore 0","Please drag and drop to rank the following LA area properties from 1 to 10, where 1 is the best and 10 is the worst. - Los Angeles, CA 90066; Price $760k; Condo; 2 Bedrooms; 2 Bathrooms; 1,095 sq ft.; 13,757 total land area; Built 2013; No pool; 38% households in the area have kids; 38% households in the area are owner occupied; 0.33 miles to the closest school; 10 schools within 1 mile; Closest school rating 6; 10 grocery stores within 1 mile; 6 parks within 1 mile; Walkscore 91; Transitscore 0",Are you familiar with the LA area / housing market?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_5""}","{""ImportId"":""QID42_6""}","{""ImportId"":""QID42_7""}","{""ImportId"":""QID42_8""}","{""ImportId"":""QID42_9""}","{""ImportId"":""QID42_10""}","{""ImportId"":""QID43""}"
2018-07-21 07:32:58,2018-07-21 07:38:53,IP Address,73.231.61.32,100,354,True,2018-07-21 07:38:53,R_3MyuNsvUcxldqrd,,,,,37.550994873047,-122.07780456543,anonymous,EN,70,10,30,80,0,10,100,0,30,30,50,50,30,7,9,3,2,1,5,4,6,8,10,No
2018-07-21 08:01:53,2018-07-21 08:07:13,IP Address,47.144.182.208,100,319,True,2018-07-21 08:07:13,R_3iPR4GtZRwVtfTZ,,,,,33.874298095703,-118.37210083008,anonymous,EN,25,5,20,15,5,5,5,0,10,0,0,5,5,6,1,2,9,5,3,10,7,8,4,Yes
2018-07-21 09:52:36,2018-07-21 10:01:33,IP Address,174.206.4.153,100,536,True,2018-07-21 10:01:33,R_2s6aNZh4LWKBX2n,,,,,32.706604003906,-94.69270324707,anonymous,EN,35,25,40,6,4,10,40,40,20,20,5,40,15,6,9,4,7,3,8,1,5,10,2,No
2018-07-21 10:14:13,2018-07-21 10:20:54,IP Address,108.91.174.190,100,401,True,2018-07-21 10:20:55,R_3Gx502esDuCt7I7,,,,,37.462493896484,-122.24050140381,anonymous,EN,33,33,33,30,10,15,25,25,20,15,40,20,5,10,7,3,5,4,2,6,9,1,8,No
2018-07-21 10:20:58,2018-07-21 10:28:00,IP Address,172.56.27.81,100,421,True,2018-07-21 10:28:00,R_A4dXnP4Wv5Y70Mp,,,,,28.495895385742,-81.238800048828,anonymous,EN,30,30,40,0,10,30,30,30,30,30,0,30,10,5,8,1,6,7,2,10,4,9,3,Yes
2018-07-21 10:40:44,2018-07-21 10:49:39,IP Address,98.176.184.165,100,535,True,2018-07-21 10:49:40,R_3htHOhTkffdEDoS,,,,,33.091003417969,-116.94160461426,anonymous,EN,30,50,20,30,10,30,30,0,10,10,50,20,10,7,3,5,2,6,8,4,1,9,10,No
2018-07-21 12:42:58,2018-07-21 12:46:56,IP Address,71.183.192.233,100,238,True,2018-07-21 12:46:57,R_9uFaJKLFhZyyNH3,,,,,40.725204467773,-73.980201721191,anonymous,EN,40,20,40,25,5,20,25,25,30,30,10,15,15,7,3,9,4,2,10,5,6,8,1,No
2018-07-22 07:32:12,2018-07-22 07:53:03,IP Address,45.56.155.191,100,1250,True,2018-07-22 07:53:03,R_2D6Vmi2G9z1t45T,,,,,40.731704711914,-73.988502502441,anonymous,EN,25,25,50,10,10,20,40,20,15,30,15,20,20,8,10,9,5,3,6,1,4,7,2,No
